,review,sentiment,mixed,negative,neutral,positive
0,I keep getting logged out of the Facebook app several times a day. Please update and fix this,NEUTRAL,0.00034087448148056865,0.0045754010789096355,0.9029046297073364,0.0921791046857834
1,Latest update is terrible.  Back button doesn’t work.  Not very stable,NEGATIVE,5.591745775745949e-06,0.9627029299736024,0.03408527374267578,0.003206288442015648
2,The latest update is full of glitches on the iPad app. The top bar on the top isn’t working. The back arrow on the left and drop downs on the right corner do not work at all.,NEGATIVE,1.0858589121198747e-06,0.9997137188911438,0.0002529098419472575,3.226740955142304e-05
3,With new iPad update version 14. Come on Facebook stay up to date already I don’t want to miss a minute of the election returns.,NEGATIVE,2.927016339526745e-06,0.9994438290596008,0.0004780258459504693,7.519918290199712e-05
4,The latest update of FB has left me unable to get to my own wall or to make any changes in my profile or even to look at it.  The link to Messenger is not working nor is the back button at the top of the page.  I expected more of FB.,NEUTRAL,5.722485184378456e-06,0.20155641436576846,0.5096545219421387,0.28878337144851685
5,The back button is still not working until it is tapped about 15 times .  Tired of all your shutdowns and fact-checkers and Anti-Trump ways.,NEGATIVE,6.949890121177305e-07,0.9992555975914,0.0005819546640850604,0.0001617928792256862
6,"I was recently banned for 7 days from Facebook for making a post that was not deemed to follow “Facebook standards”
The post was not offensive in the slightest.
Yet someone was allowed due to a certain political ideology to deem my post as not following the community (communist) standards. I was blown away at how much censorship Facebook is responsible for so close to the election. They are totally put of control and need to be put in check. 
Freedom 2020",NEGATIVE,9.867525250228935e-07,0.9823050498962402,0.017167497426271442,0.0005264356732368469
7,"Does anyone else have same issue, where the back arrow doesnt work properly.",NEUTRAL,5.855896688444773e-06,0.35497424006462097,0.6389473676681519,0.006072622258216143
8,The app is great I have a fun time using it but a problem I have is when I try to put multiple stories at the same time and when I put all of them some people can’t see some.I have to go to my story and press on it to see everything. This is fix that need to happen quickly.,NEUTRAL,0.005623628385365009,0.30936160683631897,0.5127614140510559,0.17225326597690582
9,Armenians who work in facebook restrict azerbaijani users for their ethnicity. It is act of nationalism and facebook team should do something to handle it,NEGATIVE,0.003863265505060553,0.8885129690170288,0.0779896080493927,0.02963426895439625
10,"not sure if this is a bug in the recent app up date, or in the ipad update, but the back arrow in the top left blue section on my facebook app has stopped working and never goes, even when I have not been into something.

Everything is good otherwise, and I use the app two or three times a day everyday.  Could you look into and correct if it is an issue with the app, or let us know if there is another cause",NEUTRAL,3.6774815725948433e-06,0.0008585328469052911,0.9988890290260316,0.00024880311684682965
11,"On iPad the marketplace basically does not work, crashes regularly when scrolling categories, sort system not reliable and search is inaccurate and shows much fewer items than are available. 
Why can’t they also have a time limit as nobody wants to see items which have been listed months ago and the seller just didn’t bother to remove",NEGATIVE,7.743921742076053e-05,0.736045241355896,0.258889764547348,0.004987593740224838
12,"This social become very dangerous , all the data it’s spread everywhere... I cancel my account after ages. Happy to be without",MIXED,0.9872137308120728,0.008460316807031631,0.00016462750500068069,0.00416124239563942
13,New version has a bug so I can now no longer log in,NEGATIVE,1.6050043996074234e-05,0.8488198518753052,0.14788275957107544,0.003281379817053676
14,"Giving this app only 3 stars because the back button on the top left corner of the app does not press no matter how many times I tap it. Thought I was having touchscreen issues, but that area of the screen works just fine when I use other apps",NEGATIVE,8.245194180744875e-07,0.997951328754425,0.001855921931564808,0.00019202141265850514
15,No freedom! I can’t practice my right and freedom to express my ideas. They always remove my comments and freeze my account. No freedom any more. Very controlling!,NEUTRAL,0.015659846365451813,0.0192594863474369,0.9320765733718872,0.033004164695739746
16,"hacked violating and defrauding by russian speaking who assume identities of defrauded like myself these group of hate drrmiven anti americans are violent foreign nationals who reside in America and reportedly have a goal of globalizing ""russian supreme society GLOBALLY""  this ishoreyfying what these evil under 45 yo do for over dour years",MIXED,0.7767968177795409,0.038614656776189804,0.05269328504800797,0.1318952441215515
17,Silences third party voters.,NEGATIVE,3.3057136761271977e-07,0.9963086247444152,0.0035581267438828945,0.00013287768524605778
18,As above. Doesn’t work so constantly coming in and out of app. You lose original search. Also the ads are unreal and a lot are fake or spam. Doesn’t update. Even after refresh I get shown stuff from 3 days ago despite it being at top of all others. Needs updated with ads in one area. Not all over my news feed!,NEGATIVE,1.0299124369339552e-05,0.9126360416412354,0.085252545773983,0.0021011114586144686
19,"Dec 2019 - Please can you fix the app as it is not showing recent feeds when I select “most recent”. I can only see the most recent feeds amongst old feeds when I scroll through “news feeds”. 

As if the app wasn't annoying enough before when I had to keep re-selecting ""most recent"" to filter to what I want to see, now I don't have the option. I don't want to see posts from 27 hours ago mixed in with posts 10 seconds ago. Sort it out FB!!

August 2018 - now it’s even worse! Even if you select “most recent” you get posts from over 24 hours ago!
Come on Facebook, you are meant to be the benchmark for social networking, you should be improving with time, not declining!!

November 2020 - why do I have to hunt through a long list to get to the most recent button? This should be the default! And please stop keep changing the order of the large buttons too!",NEGATIVE,3.094972635153681e-05,0.5181167125701904,0.4222520291805267,0.0596003532409668
20,"If you leave the app for just a second, maybe to google something, then go back to the app to finish reading the article you were reading or finish watching the video you were half way through, the app refreshes itself without warning, you’re back at the top of your news feed which has now changed and you have no way of finding where you just were to continue where you left off. What makes it more frustrating is it doesn’t always do this which means the app is capable of remembering where you were, it just chooses not to.",NEGATIVE,9.72961743173073e-07,0.9918481111526488,0.007571405731141567,0.000579475483391434
21,Utter rubbish nothing works correctly and constantly bombarded with adverts for gambling and alcohol,MIXED,0.7682791352272034,0.17873254418373108,0.0058199684135615826,0.04716839268803597
22,Last update broke the app it intermittently says no internet while all my other apps including messenger work fine.,NEGATIVE,4.3754721446020994e-06,0.9785418510437012,0.016187937930226326,0.0052657565101981154
23,"In addition to the “friends except:” option, I would appreciate being able to make a post public with exceptions",NEGATIVE,0.002302882028743625,0.9542568922042848,0.04225670546293259,0.0011834830511361358
24,"This latest update was around 10/26/2020 and in the 6 days since the release, my data usage from the app has increased significantly.",NEUTRAL,4.849237598136824e-07,0.0014975565718486905,0.9977291226387024,0.00077291252091527
25,"The most recent version update last week on my iPad 6 and has a couple issues.

<   back button at top left refuses to work. Tap tap tap ....nothing.

Also an ongoing issue is when I get a notification for a post, I click on it and sometimes it takes me to the post....other times I have to use search bar to figure out who reacted or comment. 

When I go to settings menu it shrinks page. Like it thinks it is iPhone version not iPad version. Twitter has some replies to my post saying they have same issue,

PLEASE FIX THESE PRONTO!!!",NEGATIVE,6.19924662714766e-07,0.999036192893982,0.0008499742252752185,0.00011323239596094936
26,Facebook has been caught red handed handing out info what does that make you feel about the app?,NEGATIVE,1.3807189134240616e-06,0.8865090012550354,0.11193542927503586,0.001554252114146948
27,"A company that makes it money selling out America and spying on you.  

Not only should you never use this app or their site, you should contact your senator and demand they regulate this company out of existence.",NEUTRAL,0.015659846365451813,0.0192594863474369,0.9320765733718872,0.033004164695739746
28,Una app que va de mal en peor pésima,NEGATIVE,1.9473147858661832e-06,0.9958735108375548,0.0030829692259430885,0.0010416130535304546
29,You can’t buy or sell dogs in your community but they have groups that sell em stupid! Got reported for making a post saying “im looking to buy a dog” and now I can’t use my Facebook for a day🤬 messenger barely works already as it is never again will I get Facebook! It’s trash!,NEUTRAL,0.015659846365451813,0.0192594863474369,0.9320765733718872,0.033004164695739746
30,A error message keeps popping up on my screen and I can’t log on the Facebook app 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ help ???,NEGATIVE,1.5128803170227911e-05,0.9667105674743652,0.03281547501683235,0.0004587786097545177
